ID,Title,Description,Price,Type
7494104383679,Zarf,Great for All Occasions ,2780,women
4730601635925,Florse,Our Best Floral Fragrance,1650,women
4671652790357,Lady Eve,The Most Nostalgic Scent,1260,women
4671654035541,Living Floral,Most Awarded Women's Fragrance!,1280,women
4671653085269,Love Letters,Women's All-Rounder!,1380,women
6940715843775,Heavenly Vibes,Best White Floral Scent,1490,women
4671653970005,Orchid House,4th Best Selling Soft Oriental Perfume,1350,women
4671657377877,Undeclared Love,Best Selling Floral Perfume,1480,women
4671657672789,Lost Symbol,Classic Oud Rose Combo,1990,women
4671657967701,Night Love,Most Under-Rated Women's Fragrance,1290,women
4671659704405,Lost Light,Second Best Floral Fragrance 🏆,1490,women
4671660261461,Kiss My Flower,The Warm Floral Fragrance,1320,women
6242907390143,Elegant,Women’s Prestige Fragrance (2003),1690,women
7207650001087,Unsiyat,Women's Top Favorite,1320,women
7242487693503,Qurb,A touch of sophistication,1590,women
7384675647679,Cemal,Full of Romance,1590,women
4671651479637,Crossroads,Most Popular Leather Fragrance,1590,women
4671651741781,Prince of Persia,Best Selling Woody Oriental Perfume,2190,women
4671652692053,Atlantis,Perfect Every-Day Scent,1250,women
4671653118037,Breeze,Terrific Fresh Clean Scent!,1550,women
4671653773397,Maldives,3rd Best Selling Citrus Perfume,1790,women
4671654068309,Oud War,Oud with Modern Touch,2050,women
4671654363221,Samarkand,Our Most Long-Lasting One!,1590,women
4671654428757,Inferno,Our Best Oud Fragrance,1200,women
4671654821973,In My Dreams,Best Selling Green Perfume,1590,women
4671655018581,Amber Oud,2nd Most Popular Rose & Oud Combo,1890,women
4671655968853,Soul To Keep - Roll On (10ML),,600,women
4671658262613,Shigar,2nd Best Selling Fruity Perfume,1850,women
4671658295381,Velvet Smooth,2nd Best Selling Oriental Perfume,1690,women
4671658524757,Shahi Shamama - Roll On (10ML),,1880,women
4671659147349,Merry Me,#1 Women's Best-Seller 🏆,1690,women
4671659507797,Unshakeable,Our 2nd Most Underrated,1290,women
4671659540565,Beyond Layers,Best Selling Mossy Wood Perfume,2050,women
4671660589141,XOXO,Bold and Loud,1750,women
4671660785749,Oudilicious,3rd Best Selling Floral Oriental Perfume,1690,women
4730606190677,Rossom,4th Best Selling Citrus Perfume,1750,women
6172118188223,Dense,2nd Best Selling Woody Oriental Perfume,1990,women
6214118867135,Sirius,3rd Best Selling Fruity Perfume,2620,women
6334544183487,Romeo and Juliet,2nd Best Selling Floral Perfume,1390,women
6572788809919,Creamy Pineapple,2nd Best Selling Mossy Wood Perfume,2550,women
6940850061503,Urban Dreams,Finest Smoky Vanilla Scent!,1690,women
7101260366015,Rashk,#3 Best Selling Woody Perfume,1590,women
7172544954559,Junoon,Best Selling Leather Perfume,1690,women
7494084362431,Farat,The Most Charismatic Fragrance,4550,men
7494086721727,Qarar,The Manly Dark Scent,2399,men
7494095732927,Rabt,Top Woody Spicy Fragrance ,3020,men
4671659016277,Catch 22,Our #1 Best Seller 🏆,1790,men
4671653347413,Tipping Point,Our #1 Office Wear! 👔,1890,men
4671658786901,Smash My Head (EDP),Our Top Rated Perfume ⭐ ,2590,men
4671652954197,Rain On Me,2nd Best Selling Aquatic Perfume,1780,men
4671656788053,Melt Me,The All-Rounder Perfume,1680,men
4671653609557,In Your Eyes,Our Best Party Wear 🕴️,1380,men
4671652692053,Atlantis,Perfect Every-Day Scent,1250,men
4671654658133,Saiful Malook,Most Popular Aquatic Scent!,1050,men
4671654101077,Dauntless,World's 2nd Best Selling DNA,1350,men
4671659442261,Near You,Top Choice for Gifting 🎁,1480,men
4671654330453,The Legend,Finest Classical - Modern Combo,1290,men
4671659180117,Da Vinci Code,A gentleman's favorite!,1490,men
4671651446869,Dark Woods,3rd Best Selling Mossy Wood Perfume,1680,men
